Order_ID,Customer_ID,Order_Date,Product,Category,Revenue
100001,C000002,2025-01-19,Immunity Booster,Ayurvedic,1578
100002,C000003,2025-01-14,Immunity Booster,Ayurvedic,358
100003,C000005,2025-01-23,Immunity Booster,Ayurvedic,1627
100004,C000006,2025-01-25,Joint Care Oil,Unani,2165
100005,C000007,2025-01-13,Joint Care Oil,Unani,1370
100006,C000008,2025-01-08,Diabetes Care,Ayurvedic,1036
100007,C000009,2025-01-05,Liver Syrup,Unani,1008
100008,C000012,2025-01-13,Immunity Booster,Ayurvedic,2000
100009,C000013,2025-01-25,Diabetes Care,Ayurvedic,2070
100010,C000014,2025-01-20,Diabetes Care,Ayurvedic,380
100011,C000015,2025-01-10,Ashwagandha,Ayurvedic,1778
100012,C000016,2025-01-09,Diabetes Care,Ayurvedic,1930
100013,C000018,2025-01-05,Liver Syrup,Unani,403
100014,C000018,2025-01-17,Ashwagandha,Ayurvedic,1215
100015,C000019,2025-01-18,Joint Care Oil,Unani,509
100016,C000021,2025-01-01,Immunity Booster,Ayurvedic,1065
100017,C000021,2025-01-23,Liver Syrup,Unani,1880
100018,C000022,2025-01-21,Immunity Booster,Ayurvedic,805
100019,C000025,2025-01-27,Diabetes Care,Ayurvedic,2167
100020,C000025,2025-01-17,Diabetes Care,Ayurvedic,2192
100021,C000026,2025-01-19,Joint Care Oil,Unani,1190
100022,C000026,2025-01-27,Liver Syrup,Unani,1196
100023,C000028,2025-01-15,Diabetes Care,Ayurvedic,730
100024,C000030,2025-01-11,Liver Syrup,Unani,1508
100025,C000031,2025-01-08,Ashwagandha,Ayurvedic,2045
100026,C000031,2025-01-25,Immunity Booster,Ayurvedic,1563
100027,C000032,2025-01-06,Diabetes Care,Ayurvedic,1768
100028,C000033,2025-01-09,Ashwagandha,Ayurvedic,846
100029,C000033,2025-01-01,Liver Syrup,Unani,1967
100030,C000034,2025-01-13,Diabetes Care,Ayurvedic,805
100031,C000035,2025-01-23,Ashwagandha,Ayurvedic,1642
100032,C000036,2025-01-05,Diabetes Care,Ayurvedic,1729
100033,C000037,2025-01-22,Immunity Booster,Ayurvedic,333
100034,C000037,2025-01-13,Liver Syrup,Unani,1823
100035,C000038,2025-01-07,Joint Care Oil,Unani,2500
100036,C000039,2025-01-24,Immunity Booster,Ayurvedic,1963
100037,C000040,2025-01-07,Diabetes Care,Ayurvedic,1375
100038,C000043,2025-01-02,Immunity Booster,Ayurvedic,2445
100039,C000044,2025-01-14,Immunity Booster,Ayurvedic,884
100040,C000045,2025-01-22,Diabetes Care,Ayurvedic,2421
100041,C000046,2025-01-21,Joint Care Oil,Unani,1294
100042,C000048,2025-01-02,Joint Care Oil,Unani,1264
100043,C000052,2025-01-07,Diabetes Care,Ayurvedic,1874
100044,C000052,2025-01-25,Liver Syrup,Unani,832
100045,C000054,2025-01-26,Joint Care Oil,Unani,2258
100046,C000057,2025-01-17,Ashwagandha,Ayurvedic,2317
100047,C000061,2025-01-14,Joint Care Oil,Unani,806
100048,C000062,2025-01-05,Joint Care Oil,Unani,2072
100049,C000063,2025-01-06,Liver Syrup,Unani,1100
100050,C000063,2025-01-25,Liver Syrup,Unani,2139
100051,C000065,2025-01-03,Diabetes Care,Ayurvedic,1981
100052,C000066,2025-01-04,Liver Syrup,Unani,1993
100053,C000070,2025-01-01,Joint Care Oil,Unani,1165
100054,C000071,2025-01-10,Immunity Booster,Ayurvedic,1898
100055,C000073,2025-01-10,Liver Syrup,Unani,2296
100056,C000073,2025-01-22,Joint Care Oil,Unani,1637
100057,C000074,2025-01-03,Ashwagandha,Ayurvedic,2257
100058,C000075,2025-01-21,Joint Care Oil,Unani,1818
100059,C000077,2025-01-03,Diabetes Care,Ayurvedic,734
100060,C000078,2025-01-17,Immunity Booster,Ayurvedic,427
100061,C000080,2025-01-12,Ashwagandha,Ayurvedic,870
100062,C000080,2025-01-07,Ashwagandha,Ayurvedic,1216
100063,C000081,2025-01-08,Diabetes Care,Ayurvedic,1923
100064,C000082,2025-01-28,Liver Syrup,Unani,382
100065,C000083,2025-01-12,Ashwagandha,Ayurvedic,1897
100066,C000084,2025-01-02,Diabetes Care,Ayurvedic,485
100067,C000085,2025-01-27,Ashwagandha,Ayurvedic,1845
100068,C000088,2025-01-01,Immunity Booster,Ayurvedic,1462
