Order_ID,Customer_ID,Order_Date,Product,Category,Revenue,First_Purchase_Date,Cohort_Month,txn_month_str,cohort_month_str,Month_Offset,Is_NTB
100001,C000002,1/19/2025,Immunity Booster,Ayurvedic,1578,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100002,C000003,1/14/2025,Immunity Booster,Ayurvedic,358,1/14/2025,1/1/2025,2025-01,2025-01,0,1
100003,C000005,1/23/2025,Immunity Booster,Ayurvedic,1627,1/23/2025,1/1/2025,2025-01,2025-01,0,1
100004,C000006,1/25/2025,Joint Care Oil,Unani,2165,1/25/2025,1/1/2025,2025-01,2025-01,0,1
100005,C000007,1/13/2025,Joint Care Oil,Unani,1370,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100006,C000008,1/8/2025,Diabetes Care,Ayurvedic,1036,1/8/2025,1/1/2025,2025-01,2025-01,0,1
100007,C000009,1/5/2025,Liver Syrup,Unani,1008,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100008,C000012,1/13/2025,Immunity Booster,Ayurvedic,2000,1/13/2025,1/1/2025,2025-01,2025-01,0,1
100009,C000013,1/25/2025,Diabetes Care,Ayurvedic,2070,1/25/2025,1/1/2025,2025-01,2025-01,0,1
100010,C000014,1/20/2025,Diabetes Care,Ayurvedic,380,1/20/2025,1/1/2025,2025-01,2025-01,0,1
100011,C000015,1/10/2025,Ashwagandha,Ayurvedic,1778,1/10/2025,1/1/2025,2025-01,2025-01,0,1
100012,C000016,1/9/2025,Diabetes Care,Ayurvedic,1930,1/9/2025,1/1/2025,2025-01,2025-01,0,1
100013,C000018,1/5/2025,Liver Syrup,Unani,403,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100014,C000018,1/17/2025,Ashwagandha,Ayurvedic,1215,1/5/2025,1/1/2025,2025-01,2025-01,0,1
100015,C000019,1/18/2025,Joint Care Oil,Unani,509,1/18/2025,1/1/2025,2025-01,2025-01,0,1
100016,C000021,1/1/2025,Immunity Booster,Ayurvedic,1065,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100017,C000021,1/23/2025,Liver Syrup,Unani,1880,1/1/2025,1/1/2025,2025-01,2025-01,0,1
100018,C000022,1/21/2025,Immunity Booster,Ayurvedic,805,1/21/2025,1/1/2025,2025-01,2025-01,0,1
100019,C000025,1/27/2025,Diabetes Care,Ayurvedic,2167,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100020,C000025,1/17/2025,Diabetes Care,Ayurvedic,2192,1/17/2025,1/1/2025,2025-01,2025-01,0,1
100021,C000026,1/19/2025,Joint Care Oil,Unani,1190,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100022,C000026,1/27/2025,Liver Syrup,Unani,1196,1/19/2025,1/1/2025,2025-01,2025-01,0,1
100023,C000028,1/15/2025,Diabetes Care,Ayurvedic,730,1/15/2025,1/1/2025,2025-01,2025-01,0,1
100024,C000030,1/11/2025,Liver Syrup,Unani,1508,1/11/2025,1/1/2025,2025-01,2025-01,0,1
100025,C000031,1/8/2025,Ashwagandha,Ayurvedic,2045,1/8/2025,1/1/2025,2025-01,2025-01,0,1
100026,C000031,1/25/2025,Immunity Booster,Ayurvedic,1563,1/8/2025,1/1/2025,2025-01,2025-01,0,1
100027,C000032,1/6/2025,Diabetes Care,Ayurvedic,1768,1/6/2025,1/1/2025,2025-01,2025-01,0,1
100028,C000033,1/9/2025,Ashwagandha,Ayurvedic,846,1/1/2025,1/1/2025,2025-01,2025-01,0,1
